code,name,market,pivot_date,prior_q1,prior_q2,rs_score,eps_yoy_q1_pct,eps_yoy_q2_pct,eps_accelerating,sales_yoy_q1_pct,per_at_pivot_approx,pbr_at_pivot_approx,psr_at_pivot_approx,market_cap_at_pivot_eok,largest_holder_pct,cfps_fy,share_dilution_1y_pct,market_regime_at_pivot,krw_at_pivot,foreign_foreign_pct_at_pivot,foreign_change_pp,pivot_vs_prior_52w_high_pct,pivot_volume_vs_50d_avg,base_len_days,base_depth_pct,prior_uptrend_pct,induty_code,sector_group_winner_count,years_since_establishment
317870,엔바이오니아,KOSDAQ,2026-05-14,202512,202509,2,-1295.2,-32.2,False,43.5,N/A(적자),1.88,4.08,582.7,28.24,-686.1,3.76,상승추세,1489.8,2.99,-0.06,35.7,1.08,21,22.6,None,339,None,25
335870,윙스풋,KOSDAQ,2024-12-27,202409,202406,44,-300.0,-83.3,False,-14.8,6.7,0.61,0.38,193.0,46.6,239.8,0.0,하락추세,1467.0,13.06,-1.45,55.1,0.06,23,26.3,None,474,None,5
222160,NPX,KOSDAQ,2024-12-03,202409,202406,89,None,93.5,False,None,77.3,17.71,4.44,795.5,None,-130.6,20.0,하락추세,1401.1,1.78,0.74,87.6,None,0,0.0,None,292,None,24
012610,경인양행,KOSPI,2025-09-26,202506,202503,38,-128.3,-15.3,False,0.5,18.9,0.5,0.32,1219.4,33.91,1519.6,0.0,상승추세,1408.9,3.64,0.7,83.7,1.24,24,6.9,24.8,20132,None,48
002840,미원상사,KOSPI,2026-03-04,202512,202509,20,-3.8,-2.2,False,-5.3,13.8,1.42,1.4,6175.0,61.2,14440.0,0.0,상승추세,1483.1,2.77,-0.48,65.0,1.56,9,9.3,None,204,None,67
014820,동원시스템즈,KOSPI,2026-03-04,202512,202509,12,-29.2,-13.8,False,-5.7,12.5,0.78,0.48,6639.0,83.37,4783.1,0.0,상승추세,1483.1,13.67,-0.44,57.7,2.04,12,11.9,None,222,None,46
003465,유화증권우,KOSPI,2025-11-27,202509,202506,67,24.1,-75.0,False,12.7,12.6,0.3,21.76,1525.3,49.05,-244.2,0.0,상승추세,1470.6,0.0,0.0,94.2,0.32,7,1.7,27.1,66121,None,63
019010,베뉴지,KOSDAQ,2025-11-26,202509,202506,56,357.9,147.7,False,6.5,2.1,0.25,2.15,1178.5,51.49,370.8,0.0,상승추세,1464.9,0.25,-0.06,97.8,2.04,20,4.3,24.4,47111,None,46
039340,한국경제TV,KOSDAQ,2026-03-04,202512,202509,31,-175.7,-82.6,False,13.9,26.3,0.5,1.33,1011.4,47.06,205.8,-2.17,중립,1483.1,1.22,-0.47,70.8,25.48,3,5.2,None,60221,None,27
046890,서울반도체,KOSDAQ,2026-02-02,202509,202506,37,121.1,-147.9,True,-14.6,N/A(적자),0.65,0.41,4151.3,None,1022.8,0.0,상승추세,1448.8,9.67,0.67,91.4,2.78,1,0.0,33.3,2612,None,39
117670,알파칩스,KOSDAQ,2025-11-04,202506,202503,14,8.5,80.0,False,-25.6,N/A(적자),1.04,0.52,404.0,33.98,107.6,-84.63,상승추세,1429.0,0.45,-1.26,46.3,1.14,13,5.6,8.6,2611,None,23
199800,툴젠,KOSDAQ,2026-03-27,202512,202509,83,-191.2,2.5,False,138.3,N/A(적자),9.01,386.2,5045.5,19.11,-2248.0,5.11,상승추세,1508.4,0.17,-0.54,73.6,10.42,24,20.5,96.7,701,None,27
130660,한전산업,KOSPI,2026-01-16,202509,202506,64,-1563.0,-3.6,False,9.2,N/A(적자),3.65,0.98,3765.3,None,1095.4,0.0,상승추세,1468.8,1.88,-4.86,75.7,7.67,21,9.4,28.9,72129,None,36
079810,APS이노베이션,KOSDAQ,2026-03-04,202512,202509,13,-96.2,304.6,False,-47.8,1283.3,0.49,1.12,828.8,22.42,1298.3,-2.27,중립,1483.1,3.21,1.76,50.9,3.72,19,17.6,None,289,None,25
001460,BYC,KOSPI,2025-04-11,202412,202409,17,-96.3,-25.1,False,-5.0,4.2,0.4,1.03,1702.1,0.57,4518.0,0.0,하락추세,1452.0,5.09,3.68,55.4,0.53,17,4.2,None,14120,None,70
024070,WISCOM,KOSPI,2026-02-02,202509,202506,25,78.9,148.7,False,21.7,N/A(적자),0.31,0.26,271.1,52.45,175.6,0.0,상승추세,1448.8,1.75,0.49,83.1,0.62,24,9.3,None,22299,None,48
900340,윙입푸드,KOSDAQ,2026-03-04,202512,202509,3,1533.3,-106.7,False,-16.6,2165.8,0.49,124.37,1208.5,45.2,0.3,None,중립,1483.1,45.23,2.05,34.8,3.43,21,15.5,None,64992,None,11
033540,파라텍,KOSDAQ,2026-05-08,202512,202509,8,None,-2283.3,False,-38.5,N/A(적자),0.41,0.27,462.4,9.43,324.9,38.4,상승추세,1454.8,1.28,0.71,55.3,1.83,17,21.4,None,292,None,53
011170,롯데케미칼,KOSPI,2026-02-06,202509,202506,62,73.6,-269.8,False,-11.1,N/A(적자),0.24,0.17,31183.3,54.58,36057.9,0.0,상승추세,1470.7,22.48,-1.91,83.8,1.22,5,11.5,56.2,20111,None,50
100700,세운메디칼,KOSDAQ,2026-01-13,202509,202506,35,61.1,-33.8,False,12.4,8.8,0.66,1.67,1035.9,52.78,301.0,0.0,상승추세,1464.9,1.17,0.34,84.0,1.33,17,6.8,13.5,213,None,44
042370,비츠로테크,KOSDAQ,2026-02-05,202509,202506,62,57.1,-660.0,False,-2.4,39.8,1.02,0.6,2627.9,59.95,2084.7,0.0,상승추세,1460.1,5.99,3.23,87.8,0.8,11,9.3,87.2,64992,None,58
098070,한텍,KOSDAQ,2025-12-18,202509,202506,71,211.7,-4.8,False,15.2,9.2,2.23,2.2,3625.5,69.41,None,26.05,상승추세,1474.0,1.15,1.1,61.7,0.26,23,11.9,50.6,251,None,27
030000,제일기획,KOSPI,2025-04-14,202412,202409,69,119.0,-6.0,False,1.5,8.5,1.12,0.46,20051.7,28.58,3011.1,0.0,하락추세,1419.1,24.2,-1.46,89.5,0.54,13,5.4,6.4,71310,None,52
221800,지구홀딩스,KOSDAQ,2026-02-10,202509,202506,91,-65.0,200.0,False,6.8,N/A(적자),2.14,4.17,1065.9,30.13,-108.7,41.16,상승추세,1458.5,0.99,-0.23,99.6,7.79,18,19.7,134.0,72911,None,17
455180,케이지에이,KOSDAQ,2026-03-04,202512,202509,2,-715.6,-23.4,False,-90.9,N/A(적자),0.83,1.93,349.0,35.37,90.7,51.65,중립,1483.1,1.93,1.88,38.2,0.54,21,21.3,None,29271,None,9
045510,정원엔시스,KOSDAQ,2026-03-05,202512,202509,33,-45.7,64.3,False,-14.6,20.0,0.49,0.11,225.5,22.14,500.1,0.0,상승추세,1460.8,0.53,0.39,57.2,11.33,10,14.9,None,46510,None,57
027050,코리아나,KOSDAQ,2026-03-04,202512,202509,23,-1840.0,-977.8,False,-14.2,N/A(적자),0.67,0.94,696.0,14.97,-38.8,0.0,중립,1483.1,2.4,0.2,53.1,1.26,11,11.8,None,20423,None,38
012750,에스원,KOSPI,2026-01-09,202509,202506,60,-11.1,20.2,False,2.3,13.6,1.4,0.96,27625.4,25.65,9911.1,0.0,상승추세,1450.1,56.43,0.77,84.3,1.24,8,8.5,37.1,75320,None,49
228850,레이언스,KOSDAQ,2026-02-11,202509,202506,13,53.9,-144.9,False,-5.6,158.4,0.34,0.76,841.2,65.06,1497.2,0.0,상승추세,1455.3,2.37,0.37,73.2,0.26,8,2.0,3.4,27111,None,15
067570,엔브이에이치코리아,KOSDAQ,2025-04-09,202412,202409,59,-119.6,51.6,False,7.9,7.3,0.41,0.05,856.1,40.54,643.5,0.0,하락추세,1486.1,0.98,0.35,74.9,1.76,10,7.1,None,30320,None,41
331380,포커스에이아이,KOSDAQ,2025-11-03,202506,202503,4,-84.6,-110.4,True,-19.9,N/A(적자),2.45,0.82,441.2,33.1,-141.0,6.66,상승추세,1427.2,1.33,-1.19,47.0,1.17,24,16.3,54.9,265,None,6
072470,우리산업홀딩스,KOSDAQ,2025-04-02,202412,202409,21,-224.1,-248.7,False,11.5,98.7,0.3,0.07,428.7,78.63,2754.2,0.0,하락추세,1470.0,0.94,0.42,51.9,0.21,17,9.3,16.7,303,None,36
030190,NICE평가정보,KOSPI,2025-04-09,202412,202409,85,72.0,45.0,True,20.5,8.8,1.43,1.26,6736.1,43.87,1431.1,-1.0,하락추세,1486.1,33.2,0.29,84.7,0.5,24,12.7,16.8,63991,None,40
094800,맵스리얼티,KOSPI,2026-01-23,202509,202506,70,None,None,False,None,N/A(이력부족),None,None,4957.4,None,None,None,상승추세,1463.3,2.75,0.14,99.8,0.86,1,0.0,31.3,642,None,19
293580,나우IB,KOSDAQ,2025-11-21,202509,202506,71,175.3,-110.0,False,247.3,22.2,1.03,4.71,1072.7,None,1.5,0.0,중립,1473.2,2.83,2.56,51.8,0.86,18,7.7,38.1,64919,None,18
489790,한화비전,KOSPI,2025-12-16,202509,202506,50,54.2,None,False,184.1,436.3,2.13,2.36,18453.5,33.95,1126.0,0.0,상승추세,1467.5,19.92,-1.06,52.7,0.86,23,23.3,70.7,264,None,1
031310,아이즈비전,KOSDAQ,2026-03-04,202512,202509,17,92.1,684.2,False,42.6,3.5,0.21,0.18,345.3,45.08,358.3,4.03,중립,1483.1,1.57,0.72,61.6,1.68,4,6.7,None,612,None,34
297570,알로이스,KOSDAQ,2026-01-22,202509,202506,61,508.3,-192.3,False,59.6,29.5,0.66,0.85,306.7,36.84,214.0,0.0,상승추세,1464.8,1.47,0.53,71.2,0.2,18,27.7,104.3,264,None,8
289930,웨이비스,KOSDAQ,2025-11-14,202509,202506,21,70.0,-58.5,True,8.5,N/A(적자),1.98,3.38,1014.1,20.41,-366.2,0.52,상승추세,1468.7,1.5,1.49,73.7,0.3,11,5.6,26.1,261,None,8
064240,홈캐스트,KOSDAQ,2026-02-02,202509,202506,23,186.1,-191.7,True,811.2,16.9,0.74,0.83,631.4,15.04,497.3,-0.98,상승추세,1448.8,2.34,1.26,60.3,0.79,22,12.0,None,467,None,26
377220,프롬바이오,KOSDAQ,2026-05-15,202603,202512,6,-33.3,10.9,False,3.6,N/A(적자),1.07,0.41,300.4,40.35,-355.8,0.0,중립,1493.3,1.45,0.78,30.8,0.23,12,14.0,None,108,None,20
009070,KCTC,KOSPI,2025-04-14,202412,202409,71,-48.1,-7.9,False,11.9,4.4,0.36,0.13,1125.0,23.32,1736.0,0.0,하락추세,1419.1,3.03,1.07,58.0,0.54,24,9.0,None,49301,None,52
