시작 전 여유 3.301 GB
명령: python scripts/backtest_volatility_pilot_us.py --market us --start 2021-02-01 --end 2026-08-21 --out .cache/bt5y/sub/us_full.json
설정: 관문임박=off · 진입상태=['actionable']
Sharadar 적재 2020-09-14~2027-06-17 (variant=base) …
  일자 1492일 · 거래대금 시계열 5759종목
  유니버스 등장 5759종목 · 시계열 보유 5759종목
스캔일 1396개 (2021-02-01~2026-08-21, step 1)
  2022-11-02: 평가 3468 · 후보 28 · 진입 1 (누적 1671)
  2022-11-03: 평가 3468 · 후보 29 · 진입 4 (누적 1675)
  2022-11-04: 평가 3465 · 후보 28 · 진입 4 (누적 1679)
  2022-11-07: 평가 3460 · 후보 22 · 진입 2 (누적 1681)
  2022-11-08: 평가 3455 · 후보 25 · 진입 0 (누적 1681)
  2022-11-09: 평가 3459 · 후보 23 · 진입 9 (누적 1690)
  2022-11-10: 평가 3459 · 후보 20 · 진입 7 (누적 1697)
  2022-11-11: 평가 3456 · 후보 16 · 진입 0 (누적 1697)
  2022-11-14: 평가 3466 · 후보 32 · 진입 5 (누적 1702)
  2022-11-15: 평가 3466 · 후보 31 · 진입 1 (누적 1703)
  2022-11-16: 평가 3466 · 후보 26 · 진입 0 (누적 1703)
  2022-11-17: 평가 3464 · 후보 30 · 진입 5 (누적 1708)
  2022-11-18: 평가 3464 · 후보 27 · 진입 1 (누적 1709)
  2022-11-21: 평가 3458 · 후보 28 · 진입 1 (누적 1710)
  2022-11-22: 평가 3454 · 후보 38 · 진입 5 (누적 1715)
  2022-11-23: 평가 3451 · 후보 47 · 진입 6 (누적 1721)
  2022-11-25: 평가 3445 · 후보 66 · 진입 5 (누적 1726)
  2022-11-28: 평가 3432 · 후보 99 · 진입 11 (누적 1737)
  2022-11-29: 평가 3427 · 후보 103 · 진입 16 (누적 1753)
